"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.50000000000E+006, +1.33899720411E+001, +0.00000000000E+000
+1.50500000000E+006, +1.33926718390E+001, +0.00000000000E+000
+1.51000000000E+006, +1.34043117860E+001, +0.00000000000E+000
+1.51500000000E+006, +1.34007204196E+001, +0.00000000000E+000
+1.52000000000E+006, +1.33979767863E+001, +0.00000000000E+000
+1.52500000000E+006, +1.34126553886E+001, +0.00000000000E+000
+1.53000000000E+006, +1.34091058125E+001, +0.00000000000E+000
+1.53500000000E+006, +1.34115169097E+001, +0.00000000000E+000
+1.54000000000E+006, +1.34129794768E+001, +0.00000000000E+000
+1.54500000000E+006, +1.34144606836E+001, +0.00000000000E+000
+1.55000000000E+006, +1.34291807216E+001, +0.00000000000E+000
+1.55500000000E+006, +1.34106362224E+001, +0.00000000000E+000
+1.56000000000E+006, +1.34391518570E+001, +0.00000000000E+000
+1.56500000000E+006, +1.34297201629E+001, +0.00000000000E+000
+1.57000000000E+006, +1.34295759768E+001, +0.00000000000E+000
+1.57500000000E+006, +1.34335575551E+001, +0.00000000000E+000
+1.58000000000E+006, +1.34368435904E+001, +0.00000000000E+000
+1.58500000000E+006, +1.34348346183E+001, +0.00000000000E+000
+1.59000000000E+006, +1.34369491084E+001, +0.00000000000E+000
+1.59500000000E+006, +1.34450036586E+001, +0.00000000000E+000
+1.60000000000E+006, +1.34528666539E+001, +0.00000000000E+000
+1.60500000000E+006, +1.34617959263E+001, +0.00000000000E+000
+1.61000000000E+006, +1.34482817410E+001, +0.00000000000E+000
+1.61500000000E+006, +1.34631848285E+001, +0.00000000000E+000
+1.62000000000E+006, +1.34760993182E+001, +0.00000000000E+000
+1.62500000000E+006, +1.34765506606E+001, +0.00000000000E+000
+1.63000000000E+006, +1.34651290227E+001, +0.00000000000E+000
+1.63500000000E+006, +1.34780601253E+001, +0.00000000000E+000
+1.64000000000E+006, +1.34745272457E+001, +0.00000000000E+000
+1.64500000000E+006, +1.34643458891E+001, +0.00000000000E+000
+1.65000000000E+006, +1.34836062361E+001, +0.00000000000E+000
+1.65500000000E+006, +1.34895796582E+001, +0.00000000000E+000
+1.66000000000E+006, +1.34842076563E+001, +0.00000000000E+000
+1.66500000000E+006, +1.34883360706E+001, +0.00000000000E+000
+1.67000000000E+006, +1.34967729152E+001, +0.00000000000E+000
+1.67500000000E+006, +1.34923434498E+001, +0.00000000000E+000
+1.68000000000E+006, +1.35011619300E+001, +0.00000000000E+000
+1.68500000000E+006, +1.34922500943E+001, +0.00000000000E+000
+1.69000000000E+006, +1.34991305178E+001, +0.00000000000E+000
+1.69500000000E+006, +1.34921722159E+001, +0.00000000000E+000
+1.70000000000E+006, +1.34992797583E+001, +0.00000000000E+000
+1.70500000000E+006, +1.35013748780E+001, +0.00000000000E+000
+1.71000000000E+006, +1.35061506026E+001, +0.00000000000E+000
+1.71500000000E+006, +1.34968967377E+001, +0.00000000000E+000
+1.72000000000E+006, +1.35044698516E+001, +0.00000000000E+000
+1.72500000000E+006, +1.35142942657E+001, +0.00000000000E+000
+1.73000000000E+006, +1.35071601802E+001, +0.00000000000E+000
+1.73500000000E+006, +1.35203151069E+001, +0.00000000000E+000
+1.74000000000E+006, +1.35264055426E+001, +0.00000000000E+000
+1.74500000000E+006, +1.35156045025E+001, +0.00000000000E+000
+1.75000000000E+006, +1.35198522682E+001, +0.00000000000E+000
+1.75500000000E+006, +1.35258058182E+001, +0.00000000000E+000
+1.76000000000E+006, +1.35290542965E+001, +0.00000000000E+000
+1.76500000000E+006, +1.35310252667E+001, +0.00000000000E+000
+1.77000000000E+006, +1.35260056413E+001, +0.00000000000E+000
+1.77500000000E+006, +1.35355198326E+001, +0.00000000000E+000
+1.78000000000E+006, +1.35452822703E+001, +0.00000000000E+000
+1.78500000000E+006, +1.35500476673E+001, +0.00000000000E+000
+1.79000000000E+006, +1.35426790268E+001, +0.00000000000E+000
+1.79500000000E+006, +1.35486862581E+001, +0.00000000000E+000
+1.80000000000E+006, +1.35476198563E+001, +0.00000000000E+000
+1.80500000000E+006, +1.35437012563E+001, +0.00000000000E+000
+1.81000000000E+006, +1.35433121312E+001, +0.00000000000E+000
+1.81500000000E+006, +1.35426118251E+001, +0.00000000000E+000
